순위,종목코드,종목명,시장,종합점수,현재가,등락률(%),거래량,주요신호,캔들패턴
1,389500,에스비비테크,KOSDAQ,45,46200,12.68,1326954,,-
2,208370,셀바스헬스케어,KOSDAQ,45,6650,12.52,19676692,,-
3,010100,한국무브넥스,KOSPI,45,4900,9.87,3063173,,-
4,039560,다산네트웍스,KOSDAQ,45,3210,3.05,426886,,-
5,214150,클래시스,KOSDAQ GLOBAL,40,58100,3.75,347243,,-
6,052020,에스티큐브,KOSDAQ,35,9040,9.71,979747,,-
7,010170,대한광통신,KOSDAQ,35,3330,13.07,46078224,,-
8,348340,뉴로메카,KOSDAQ,35,34350,6.02,934847,,-
9,200880,서연이화,KOSPI,35,13570,8.39,308508,,-
10,042370,비츠로테크,KOSDAQ,35,10620,16.58,4742110,,-
11,101170,우림피티에스,KOSDAQ,35,18470,18.47,12568076,,-
12,336680,탑런토탈솔루션,KOSDAQ,35,4295,-3.59,613346,,-
13,056090,시지메드텍,KOSDAQ,35,1421,4.49,9879902,,-
14,094940,푸른기술,KOSDAQ,35,8730,6.46,646347,,-
15,000270,기아,KOSPI,30,133200,6.65,1738639,,-
16,010950,S-Oil,KOSPI,30,84000,3.07,431176,,-
17,071970,HD현대마린엔진,KOSPI,30,100500,4.47,565568,,-
18,014680,한솔케미칼,KOSPI,30,228500,-3.38,87814,,-
19,017960,한국카본,KOSPI,30,38400,22.29,4608293,,-
20,112040,위메이드,KOSDAQ,30,28200,13.71,537878,,-
21,389650,넥스트바이오메디컬,KOSDAQ,30,89800,0.0,212078,,-
22,228760,지노믹트리,KOSDAQ,30,28500,-0.87,827456,,-
23,214430,아이쓰리시스템,KOSDAQ,30,91000,4.84,170703,,-
24,084110,휴온스글로벌,KOSDAQ,30,51100,5.69,96865,,-
25,023160,태광,KOSDAQ,30,22800,4.83,260705,,-
26,056080,유진로봇,KOSDAQ,30,15300,-2.86,975675,,-
27,017810,풀무원,KOSPI,30,13100,3.56,185333,,-
28,338840,와이바이오로직스,KOSDAQ,30,26200,0.77,253515,,-
29,448900,한국피아이엠,KOSDAQ,30,63900,9.23,556384,,-
30,108380,대양전기공업,KOSDAQ,30,30250,14.15,244916,,-
31,194700,노바렉스,KOSDAQ,30,14180,3.28,110325,,-
32,334970,프레스티지바이오로직스,KOSDAQ,30,3235,-14.19,1284462,,-
33,285490,노바텍,KOSDAQ,30,22150,-10.87,313445,,-
34,126700,하이비젼시스템,KOSDAQ,30,15450,-1.15,108346,,-
35,489460,바이오비쥬,KOSDAQ,30,10650,-7.07,275644,,-
36,086960,MDS테크,KOSDAQ,30,1398,11.48,10162294,,-
37,142210,유니트론텍,KOSDAQ,30,6480,5.54,803082,,-
38,085910,네오티스,KOSDAQ,30,9440,16.4,881999,,-
39,036420,콘텐트리중앙,KOSPI,30,6300,-3.82,614378,,-
40,053450,세코닉스,KOSDAQ,30,6370,-4.21,3341322,,-
41,141000,비아트론,KOSDAQ,30,7700,14.93,458761,,-
42,138360,협진,KOSDAQ,30,1555,11.07,31019025,,-
43,049180,셀루메드,KOSDAQ,30,1475,-12.51,21715856,,-
44,100660,서암기계공업,KOSDAQ,30,5220,6.97,2516960,,-
45,046310,백금T&A,KOSDAQ,30,3915,-5.66,872051,,-
46,072130,유엔젤,KOSPI,30,4205,-7.07,380271,,-
